Descritpion_ID,Top_20_Image_IDs
0.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
1.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
2.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
3.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
4.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
5.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
6.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
7.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
8.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
9.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
10.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
11.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
12.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
13.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
14.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
15.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
16.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
17.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
18.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
19.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
20.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
21.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
22.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
23.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
24.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
25.txt,68.jpg 912.jpg 633.jpg 216.jpg 785.jpg 305.jpg 849.jpg 1088.jpg 991.jpg 46.jpg 1031.jpg 1243.jpg 629.jpg 808.jpg 1231.jpg 167.jpg 1570.jpg 1402.jpg 1618.jpg 988.jpg
