Descritpion_ID,Top_20_Image_IDs
0.txt,763.jpg 1059.jpg 1574.jpg 452.jpg 860.jpg 1033.jpg 784.jpg 1030.jpg 1027.jpg 1340.jpg 1648.jpg 607.jpg 1421.jpg 1208.jpg 1475.jpg 1437.jpg 290.jpg 867.jpg 1719.jpg 419.jpg 
1.txt,1341.jpg 1529.jpg 1156.jpg 753.jpg 809.jpg 435.jpg 1337.jpg 1929.jpg 833.jpg 542.jpg 1417.jpg 948.jpg 758.jpg 589.jpg 1071.jpg 687.jpg 1907.jpg 457.jpg 238.jpg 1753.jpg 
2.txt,755.jpg 993.jpg 332.jpg 990.jpg 254.jpg 43.jpg 980.jpg 1464.jpg 545.jpg 662.jpg 1651.jpg 229.jpg 228.jpg 1909.jpg 1060.jpg 625.jpg 915.jpg 408.jpg 1661.jpg 1405.jpg 
3.txt,763.jpg 1059.jpg 1574.jpg 452.jpg 860.jpg 1033.jpg 784.jpg 1030.jpg 1027.jpg 1340.jpg 1648.jpg 607.jpg 1421.jpg 1208.jpg 1475.jpg 1437.jpg 290.jpg 867.jpg 1719.jpg 419.jpg 
4.txt,763.jpg 1059.jpg 1574.jpg 452.jpg 860.jpg 1033.jpg 784.jpg 1030.jpg 1027.jpg 1340.jpg 1648.jpg 607.jpg 1421.jpg 1208.jpg 1475.jpg 1437.jpg 290.jpg 867.jpg 1719.jpg 419.jpg 
5.txt,814.jpg 354.jpg 699.jpg 703.jpg 1426.jpg 771.jpg 1287.jpg 1895.jpg 1322.jpg 51.jpg 46.jpg 1693.jpg 1696.jpg 887.jpg 1888.jpg 274.jpg 1335.jpg 1991.jpg 526.jpg 614.jpg 
6.txt,1855.jpg 655.jpg 402.jpg 1885.jpg 1768.jpg 908.jpg 414.jpg 33.jpg 1289.jpg 1584.jpg 718.jpg 217.jpg 712.jpg 535.jpg 1320.jpg 1465.jpg 1607.jpg 1122.jpg 1153.jpg 458.jpg 
7.txt,1285.jpg 1328.jpg 528.jpg 1694.jpg 1249.jpg 1900.jpg 168.jpg 1961.jpg 409.jpg 987.jpg 756.jpg 627.jpg 1085.jpg 448.jpg 136.jpg 1155.jpg 689.jpg 1270.jpg 1239.jpg 685.jpg 
8.txt,1557.jpg 719.jpg 1397.jpg 1346.jpg 1622.jpg 1948.jpg 266.jpg 419.jpg 134.jpg 923.jpg 1752.jpg 113.jpg 837.jpg 823.jpg 103.jpg 1918.jpg 1031.jpg 245.jpg 857.jpg 1261.jpg 
9.txt,763.jpg 1059.jpg 1574.jpg 452.jpg 860.jpg 1033.jpg 784.jpg 1030.jpg 1027.jpg 1340.jpg 1648.jpg 607.jpg 1421.jpg 1208.jpg 1475.jpg 1437.jpg 290.jpg 867.jpg 1719.jpg 419.jpg 
