Descritpion_ID,Top_20_Image_IDs
0.txt,322.jpg 105.jpg 1011.jpg 1627.jpg 1980.jpg 309.jpg 106.jpg 1144.jpg 760.jpg 338.jpg 1883.jpg 683.jpg 998.jpg 231.jpg 1413.jpg 124.jpg 82.jpg 1296.jpg 1040.jpg 561.jpg
1.txt,331.jpg 1714.jpg 355.jpg 57.jpg 144.jpg 1408.jpg 428.jpg 1199.jpg 1806.jpg 1989.jpg 815.jpg 179.jpg 850.jpg 200.jpg 1824.jpg 457.jpg 1068.jpg 538.jpg 1134.jpg 1733.jpg
2.txt,1292.jpg 1183.jpg 838.jpg 634.jpg 600.jpg 1533.jpg 249.jpg 904.jpg 825.jpg 1471.jpg 1693.jpg 445.jpg 159.jpg 523.jpg 372.jpg 124.jpg 781.jpg 1144.jpg 322.jpg 1716.jpg
3.txt,1700.jpg 1553.jpg 393.jpg 725.jpg 1145.jpg 904.jpg 249.jpg 1594.jpg 825.jpg 236.jpg 805.jpg 476.jpg 77.jpg 1492.jpg 770.jpg 549.jpg 1382.jpg 829.jpg 361.jpg 1910.jpg
4.txt,1161.jpg 112.jpg 1446.jpg 619.jpg 849.jpg 1069.jpg 1629.jpg 1561.jpg 808.jpg 132.jpg 1011.jpg 1958.jpg 1262.jpg 1276.jpg 1384.jpg 985.jpg 206.jpg 1779.jpg 485.jpg 597.jpg
5.txt,825.jpg 1292.jpg 1145.jpg 249.jpg 1693.jpg 904.jpg 1630.jpg 1335.jpg 1067.jpg 771.jpg 814.jpg 1168.jpg 1700.jpg 1429.jpg 60.jpg 330.jpg 838.jpg 600.jpg 523.jpg 1614.jpg
6.txt,1216.jpg 1855.jpg 1607.jpg 1660.jpg 1584.jpg 814.jpg 1701.jpg 1320.jpg 1122.jpg 429.jpg 1311.jpg 1275.jpg 1874.jpg 771.jpg 1815.jpg 583.jpg 1020.jpg 1472.jpg 996.jpg 1790.jpg
7.txt,975.jpg 987.jpg 409.jpg 1363.jpg 1123.jpg 1949.jpg 1857.jpg 1302.jpg 1711.jpg 932.jpg 451.jpg 1961.jpg 448.jpg 364.jpg 1085.jpg 689.jpg 685.jpg 627.jpg 1239.jpg 1022.jpg
8.txt,1048.jpg 823.jpg 1942.jpg 559.jpg 1399.jpg 1927.jpg 781.jpg 1902.jpg 537.jpg 1446.jpg 1292.jpg 103.jpg 1570.jpg 193.jpg 1175.jpg 98.jpg 1808.jpg 1562.jpg 1983.jpg 761.jpg
9.txt,1446.jpg 1700.jpg 1145.jpg 1913.jpg 597.jpg 1479.jpg 1818.jpg 1248.jpg 829.jpg 1886.jpg 808.jpg 614.jpg 1429.jpg 849.jpg 1231.jpg 1292.jpg 1837.jpg 1980.jpg 549.jpg 451.jpg
10.txt,696.jpg 979.jpg 634.jpg 1471.jpg 904.jpg 1482.jpg 511.jpg 322.jpg 1183.jpg 117.jpg 765.jpg 159.jpg 505.jpg 42.jpg 663.jpg 1366.jpg 600.jpg 1242.jpg 1344.jpg 1413.jpg
11.txt,1292.jpg 1429.jpg 1693.jpg 814.jpg 1446.jpg 1837.jpg 124.jpg 781.jpg 1206.jpg 1335.jpg 249.jpg 1533.jpg 1011.jpg 1700.jpg 771.jpg 372.jpg 1145.jpg 784.jpg 600.jpg 1254.jpg
12.txt,516.jpg 1910.jpg 358.jpg 221.jpg 77.jpg 113.jpg 691.jpg 725.jpg 157.jpg 451.jpg 1700.jpg 1443.jpg 1258.jpg 267.jpg 1414.jpg 805.jpg 1057.jpg 364.jpg 1024.jpg 1680.jpg
13.txt,1584.jpg 899.jpg 996.jpg 1311.jpg 1275.jpg 1333.jpg 583.jpg 1458.jpg 1018.jpg 1020.jpg 1776.jpg 1655.jpg 1913.jpg 648.jpg 262.jpg 977.jpg 1289.jpg 1312.jpg 1758.jpg 1540.jpg
