Descritpion_ID,Top_20_Image_IDs
0.txt,1077.jpg 760.jpg 1380.jpg 46.jpg 1980.jpg 1011.jpg 714.jpg 231.jpg 153.jpg 309.jpg 338.jpg 881.jpg 1992.jpg 540.jpg 629.jpg 345.jpg 105.jpg 1040.jpg 124.jpg 683.jpg
1.txt,635.jpg 674.jpg 1639.jpg 355.jpg 1714.jpg 80.jpg 1199.jpg 818.jpg 211.jpg 1021.jpg 997.jpg 1989.jpg 198.jpg 1822.jpg 1615.jpg 1039.jpg 158.jpg 201.jpg 1017.jpg 1102.jpg
2.txt,1183.jpg 607.jpg 1651.jpg 445.jpg 838.jpg 1033.jpg 1866.jpg 523.jpg 117.jpg 600.jpg 1211.jpg 720.jpg 1292.jpg 1716.jpg 1471.jpg 1739.jpg 904.jpg 42.jpg 1421.jpg 63.jpg
3.txt,1514.jpg 770.jpg 1998.jpg 1215.jpg 1318.jpg 1661.jpg 469.jpg 1765.jpg 1207.jpg 960.jpg 94.jpg 1486.jpg 1727.jpg 1097.jpg 472.jpg 1112.jpg 731.jpg 471.jpg 1031.jpg 26.jpg
4.txt,808.jpg 912.jpg 68.jpg 849.jpg 1243.jpg 305.jpg 216.jpg 46.jpg 153.jpg 1850.jpg 1945.jpg 1231.jpg 670.jpg 604.jpg 199.jpg 1581.jpg 1498.jpg 1180.jpg 1069.jpg 1856.jpg
5.txt,625.jpg 1998.jpg 229.jpg 1889.jpg 272.jpg 1790.jpg 393.jpg 1661.jpg 805.jpg 97.jpg 1995.jpg 731.jpg 60.jpg 304.jpg 800.jpg 990.jpg 1492.jpg 1517.jpg 1802.jpg 1656.jpg
6.txt,1790.jpg 1377.jpg 718.jpg 402.jpg 1768.jpg 1815.jpg 1885.jpg 1701.jpg 582.jpg 1855.jpg 1216.jpg 1465.jpg 262.jpg 1944.jpg 1607.jpg 1151.jpg 712.jpg 1020.jpg 1265.jpg 367.jpg
7.txt,975.jpg 987.jpg 1270.jpg 627.jpg 1123.jpg 1488.jpg 10.jpg 932.jpg 409.jpg 1249.jpg 1711.jpg 448.jpg 1362.jpg 1363.jpg 1302.jpg 685.jpg 624.jpg 725.jpg 689.jpg 1239.jpg
8.txt,419.jpg 1283.jpg 991.jpg 1170.jpg 727.jpg 1031.jpg 1570.jpg 537.jpg 1902.jpg 531.jpg 1163.jpg 1834.jpg 1004.jpg 1348.jpg 1808.jpg 1942.jpg 3.jpg 1544.jpg 1847.jpg 103.jpg
9.txt,1446.jpg 760.jpg 1700.jpg 632.jpg 1048.jpg 1902.jpg 1479.jpg 991.jpg 46.jpg 1031.jpg 3.jpg 958.jpg 1503.jpg 823.jpg 563.jpg 808.jpg 639.jpg 1254.jpg 785.jpg 321.jpg
10.txt,696.jpg 496.jpg 1482.jpg 904.jpg 1421.jpg 1471.jpg 1183.jpg 883.jpg 1677.jpg 445.jpg 476.jpg 539.jpg 260.jpg 979.jpg 1866.jpg 821.jpg 1840.jpg 42.jpg 1648.jpg 184.jpg
11.txt,1661.jpg 802.jpg 17.jpg 1026.jpg 1195.jpg 632.jpg 784.jpg 1402.jpg 1790.jpg 325.jpg 424.jpg 167.jpg 85.jpg 1338.jpg 641.jpg 674.jpg 1906.jpg 1460.jpg 1211.jpg 973.jpg
12.txt,393.jpg 1765.jpg 1656.jpg 805.jpg 1686.jpg 1215.jpg 26.jpg 731.jpg 267.jpg 1910.jpg 221.jpg 1727.jpg 1653.jpg 770.jpg 1031.jpg 941.jpg 1052.jpg 1918.jpg 1097.jpg 1000.jpg
13.txt,1020.jpg 899.jpg 458.jpg 1465.jpg 1265.jpg 262.jpg 1018.jpg 1855.jpg 1191.jpg 1584.jpg 1790.jpg 1940.jpg 1913.jpg 969.jpg 996.jpg 1151.jpg 940.jpg 429.jpg 1377.jpg 1333.jpg
14.txt,1151.jpg 555.jpg 262.jpg 1289.jpg 899.jpg 623.jpg 655.jpg 414.jpg 156.jpg 1377.jpg 458.jpg 1768.jpg 718.jpg 1885.jpg 1444.jpg 1940.jpg 1265.jpg 897.jpg 217.jpg 1312.jpg
15.txt,1999.jpg 1369.jpg 738.jpg 482.jpg 1615.jpg 1839.jpg 107.jpg 225.jpg 23.jpg 198.jpg 247.jpg 1184.jpg 644.jpg 818.jpg 527.jpg 1102.jpg 1141.jpg 1477.jpg 1199.jpg 668.jpg
16.txt,1736.jpg 37.jpg 1088.jpg 267.jpg 1127.jpg 1224.jpg 1676.jpg 194.jpg 1236.jpg 1610.jpg 52.jpg 77.jpg 734.jpg 1921.jpg 1433.jpg 78.jpg 1698.jpg 1132.jpg 1018.jpg 358.jpg
17.txt,1594.jpg 720.jpg 1700.jpg 476.jpg 1144.jpg 511.jpg 1118.jpg 496.jpg 664.jpg 679.jpg 600.jpg 1183.jpg 696.jpg 338.jpg 249.jpg 1630.jpg 1197.jpg 1789.jpg 372.jpg 879.jpg
18.txt,605.jpg 1461.jpg 1279.jpg 577.jpg 670.jpg 1774.jpg 764.jpg 10.jpg 1258.jpg 1123.jpg 1543.jpg 686.jpg 1463.jpg 725.jpg 903.jpg 779.jpg 1450.jpg 397.jpg 432.jpg 1695.jpg
19.txt,933.jpg 275.jpg 203.jpg 1301.jpg 190.jpg 1595.jpg 884.jpg 573.jpg 1189.jpg 1357.jpg 145.jpg 1128.jpg 1430.jpg 258.jpg 207.jpg 1831.jpg 550.jpg 1552.jpg 1944.jpg 737.jpg
20.txt,1570.jpg 3.jpg 1847.jpg 828.jpg 727.jpg 1163.jpg 633.jpg 352.jpg 991.jpg 1902.jpg 663.jpg 1031.jpg 1197.jpg 563.jpg 1967.jpg 765.jpg 1523.jpg 559.jpg 1573.jpg 1066.jpg
21.txt,1661.jpg 1921.jpg 963.jpg 960.jpg 471.jpg 1207.jpg 1930.jpg 1215.jpg 1088.jpg 1727.jpg 1453.jpg 731.jpg 71.jpg 618.jpg 1070.jpg 267.jpg 412.jpg 148.jpg 941.jpg 1097.jpg
22.txt,1138.jpg 1814.jpg 1891.jpg 1988.jpg 326.jpg 666.jpg 1109.jpg 1199.jpg 590.jpg 1704.jpg 818.jpg 640.jpg 201.jpg 589.jpg 317.jpg 1754.jpg 1226.jpg 1524.jpg 611.jpg 118.jpg
23.txt,1554.jpg 1545.jpg 39.jpg 759.jpg 1873.jpg 1964.jpg 924.jpg 733.jpg 1066.jpg 741.jpg 108.jpg 780.jpg 1241.jpg 278.jpg 1356.jpg 578.jpg 1422.jpg 635.jpg 1667.jpg 1793.jpg
24.txt,1681.jpg 584.jpg 1074.jpg 1870.jpg 74.jpg 1633.jpg 536.jpg 1974.jpg 1445.jpg 1520.jpg 1115.jpg 1406.jpg 101.jpg 1062.jpg 522.jpg 1903.jpg 914.jpg 1732.jpg 81.jpg 1882.jpg
25.txt,1215.jpg 1207.jpg 731.jpg 960.jpg 471.jpg 1727.jpg 1465.jpg 267.jpg 1097.jpg 249.jpg 1661.jpg 1778.jpg 26.jpg 1930.jpg 52.jpg 1088.jpg 1889.jpg 941.jpg 1318.jpg 1768.jpg
26.txt,107.jpg 1839.jpg 738.jpg 1184.jpg 1369.jpg 1147.jpg 1141.jpg 1999.jpg 198.jpg 23.jpg 482.jpg 1615.jpg 225.jpg 1199.jpg 247.jpg 1102.jpg 1645.jpg 668.jpg 1192.jpg 1507.jpg
27.txt,440.jpg 439.jpg 81.jpg 1339.jpg 1990.jpg 1882.jpg 127.jpg 64.jpg 1012.jpg 708.jpg 268.jpg 370.jpg 289.jpg 1254.jpg 1633.jpg 853.jpg 87.jpg 1376.jpg 46.jpg 1401.jpg
28.txt,1839.jpg 1369.jpg 198.jpg 738.jpg 107.jpg 1615.jpg 1184.jpg 149.jpg 1999.jpg 1507.jpg 1102.jpg 1192.jpg 1141.jpg 668.jpg 247.jpg 1147.jpg 80.jpg 482.jpg 6.jpg 1477.jpg
29.txt,19.jpg 760.jpg 785.jpg 68.jpg 1479.jpg 1980.jpg 338.jpg 991.jpg 153.jpg 1176.jpg 1648.jpg 698.jpg 670.jpg 46.jpg 476.jpg 1380.jpg 1231.jpg 1850.jpg 912.jpg 546.jpg
30.txt,305.jpg 1980.jpg 868.jpg 725.jpg 1321.jpg 549.jpg 1088.jpg 1053.jpg 1850.jpg 94.jpg 749.jpg 1553.jpg 1000.jpg 309.jpg 167.jpg 723.jpg 393.jpg 502.jpg 267.jpg 1661.jpg
31.txt,635.jpg 211.jpg 1908.jpg 1281.jpg 924.jpg 108.jpg 741.jpg 1793.jpg 1435.jpg 1017.jpg 313.jpg 176.jpg 395.jpg 1375.jpg 282.jpg 1474.jpg 659.jpg 1941.jpg 674.jpg 991.jpg
32.txt,848.jpg 1179.jpg 837.jpg 1706.jpg 1644.jpg 343.jpg 420.jpg 1031.jpg 1656.jpg 864.jpg 982.jpg 1004.jpg 1261.jpg 1635.jpg 1010.jpg 1847.jpg 1954.jpg 1570.jpg 844.jpg 1389.jpg
33.txt,1988.jpg 666.jpg 1704.jpg 326.jpg 1138.jpg 1814.jpg 1111.jpg 1891.jpg 253.jpg 176.jpg 504.jpg 1642.jpg 674.jpg 1065.jpg 1435.jpg 1709.jpg 635.jpg 1109.jpg 1759.jpg 590.jpg
34.txt,803.jpg 852.jpg 393.jpg 1930.jpg 1397.jpg 1583.jpg 1661.jpg 477.jpg 523.jpg 218.jpg 496.jpg 805.jpg 1515.jpg 1253.jpg 1492.jpg 60.jpg 188.jpg 472.jpg 167.jpg 446.jpg
35.txt,883.jpg 539.jpg 696.jpg 1389.jpg 1031.jpg 476.jpg 1896.jpg 1611.jpg 496.jpg 823.jpg 1500.jpg 1525.jpg 765.jpg 1004.jpg 1242.jpg 1847.jpg 1183.jpg 1644.jpg 1656.jpg 393.jpg
