Descritpion_ID,Top_20_Image_IDs
0.txt,309.jpg 760.jpg 46.jpg 1011.jpg 1980.jpg 231.jpg 922.jpg 669.jpg 105.jpg 1380.jpg 604.jpg 305.jpg 338.jpg 554.jpg 881.jpg 1992.jpg 124.jpg 153.jpg 912.jpg 1077.jpg
1.txt,80.jpg 674.jpg 1199.jpg 635.jpg 1714.jpg 198.jpg 1102.jpg 1639.jpg 1989.jpg 1822.jpg 1615.jpg 818.jpg 160.jpg 1184.jpg 107.jpg 428.jpg 355.jpg 1021.jpg 816.jpg 1507.jpg
2.txt,1183.jpg 838.jpg 1033.jpg 445.jpg 1651.jpg 607.jpg 42.jpg 1292.jpg 1471.jpg 1866.jpg 523.jpg 117.jpg 600.jpg 904.jpg 634.jpg 696.jpg 979.jpg 1421.jpg 953.jpg 283.jpg
3.txt,1514.jpg 770.jpg 1998.jpg 309.jpg 1318.jpg 1215.jpg 1031.jpg 472.jpg 94.jpg 1207.jpg 1700.jpg 1315.jpg 305.jpg 1661.jpg 834.jpg 1850.jpg 1088.jpg 1727.jpg 829.jpg 1191.jpg
4.txt,912.jpg 808.jpg 68.jpg 1243.jpg 305.jpg 849.jpg 46.jpg 216.jpg 1581.jpg 153.jpg 604.jpg 1856.jpg 1498.jpg 1231.jpg 1850.jpg 199.jpg 1166.jpg 1945.jpg 473.jpg 1069.jpg
5.txt,1998.jpg 625.jpg 1889.jpg 1183.jpg 1088.jpg 800.jpg 1656.jpg 1790.jpg 257.jpg 393.jpg 1651.jpg 1906.jpg 1031.jpg 607.jpg 1661.jpg 272.jpg 1338.jpg 97.jpg 1421.jpg 496.jpg
6.txt,1377.jpg 1790.jpg 1855.jpg 1768.jpg 718.jpg 429.jpg 1265.jpg 262.jpg 582.jpg 1465.jpg 458.jpg 712.jpg 1885.jpg 1151.jpg 414.jpg 1944.jpg 623.jpg 1815.jpg 1874.jpg 358.jpg
7.txt,975.jpg 1249.jpg 1362.jpg 987.jpg 1363.jpg 1270.jpg 932.jpg 448.jpg 1123.jpg 1488.jpg 689.jpg 1085.jpg 1302.jpg 409.jpg 1961.jpg 627.jpg 1711.jpg 1857.jpg 10.jpg 685.jpg
8.txt,419.jpg 1283.jpg 991.jpg 1170.jpg 727.jpg 1570.jpg 537.jpg 1942.jpg 1031.jpg 1004.jpg 1163.jpg 1834.jpg 665.jpg 352.jpg 1808.jpg 1902.jpg 3.jpg 102.jpg 531.jpg 1780.jpg
9.txt,1700.jpg 1048.jpg 1446.jpg 1902.jpg 127.jpg 849.jpg 808.jpg 632.jpg 1228.jpg 760.jpg 1503.jpg 46.jpg 3.jpg 563.jpg 991.jpg 1399.jpg 1254.jpg 1479.jpg 1663.jpg 958.jpg
