Descritpion_ID,Top_20_Image_IDs
0.txt,1094.jpg 714.jpg 602.jpg 1702.jpg 345.jpg 769.jpg 184.jpg 1380.jpg 1962.jpg 338.jpg 1344.jpg 860.jpg 290.jpg 1967.jpg 871.jpg 559.jpg 1475.jpg 1574.jpg 561.jpg 1648.jpg
1.txt,833.jpg 314.jpg 1810.jpg 169.jpg 818.jpg 457.jpg 80.jpg 1177.jpg 61.jpg 1141.jpg 1102.jpg 1529.jpg 185.jpg 158.jpg 331.jpg 508.jpg 927.jpg 107.jpg 1049.jpg 1742.jpg
2.txt,42.jpg 838.jpg 634.jpg 1183.jpg 1482.jpg 696.jpg 1665.jpg 1208.jpg 1471.jpg 1366.jpg 1840.jpg 1724.jpg 511.jpg 1641.jpg 1713.jpg 904.jpg 260.jpg 663.jpg 159.jpg 1475.jpg
3.txt,431.jpg 1567.jpg 1242.jpg 1769.jpg 539.jpg 883.jpg 727.jpg 1573.jpg 1052.jpg 923.jpg 1664.jpg 781.jpg 117.jpg 765.jpg 1883.jpg 464.jpg 1144.jpg 1896.jpg 426.jpg 1197.jpg
4.txt,922.jpg 413.jpg 95.jpg 1816.jpg 799.jpg 1502.jpg 305.jpg 930.jpg 687.jpg 770.jpg 1269.jpg 881.jpg 549.jpg 969.jpg 614.jpg 1620.jpg 1258.jpg 1818.jpg 1011.jpg 686.jpg
5.txt,771.jpg 1874.jpg 51.jpg 492.jpg 1991.jpg 1335.jpg 846.jpg 1693.jpg 703.jpg 630.jpg 379.jpg 814.jpg 1943.jpg 330.jpg 1660.jpg 526.jpg 643.jpg 1088.jpg 1913.jpg 1830.jpg
6.txt,1660.jpg 1855.jpg 1216.jpg 429.jpg 1275.jpg 583.jpg 1701.jpg 1815.jpg 1472.jpg 655.jpg 996.jpg 1540.jpg 1584.jpg 1790.jpg 1151.jpg 1289.jpg 908.jpg 897.jpg 1122.jpg 1320.jpg
7.txt,975.jpg 1696.jpg 1098.jpg 1400.jpg 1900.jpg 267.jpg 46.jpg 670.jpg 105.jpg 760.jpg 745.jpg 1577.jpg 902.jpg 1127.jpg 451.jpg 305.jpg 654.jpg 1786.jpg 1774.jpg 1263.jpg
8.txt,1283.jpg 719.jpg 1048.jpg 531.jpg 1543.jpg 419.jpg 923.jpg 103.jpg 447.jpg 1348.jpg 1997.jpg 284.jpg 1031.jpg 1004.jpg 727.jpg 472.jpg 1346.jpg 1570.jpg 1399.jpg 464.jpg
9.txt,554.jpg 1886.jpg 614.jpg 549.jpg 274.jpg 1446.jpg 570.jpg 1818.jpg 413.jpg 770.jpg 1913.jpg 1830.jpg 1700.jpg 321.jpg 881.jpg 1558.jpg 1510.jpg 1620.jpg 630.jpg 1943.jpg
10.txt,1366.jpg 1471.jpg 634.jpg 696.jpg 1421.jpg 511.jpg 42.jpg 1340.jpg 1482.jpg 1665.jpg 838.jpg 1840.jpg 979.jpg 1208.jpg 649.jpg 904.jpg 1084.jpg 1724.jpg 1499.jpg 1059.jpg
11.txt,379.jpg 771.jpg 1335.jpg 51.jpg 846.jpg 1693.jpg 1943.jpg 492.jpg 526.jpg 814.jpg 630.jpg 1874.jpg 1837.jpg 1913.jpg 1830.jpg 1991.jpg 330.jpg 1533.jpg 643.jpg 49.jpg
12.txt,845.jpg 1653.jpg 1568.jpg 231.jpg 137.jpg 351.jpg 1443.jpg 1883.jpg 1350.jpg 676.jpg 1336.jpg 1656.jpg 1637.jpg 1382.jpg 1348.jpg 1057.jpg 113.jpg 1600.jpg 157.jpg 397.jpg
13.txt,1191.jpg 1333.jpg 899.jpg 414.jpg 458.jpg 623.jpg 113.jpg 648.jpg 33.jpg 1933.jpg 431.jpg 539.jpg 712.jpg 555.jpg 221.jpg 1505.jpg 1311.jpg 557.jpg 406.jpg 1020.jpg
14.txt,414.jpg 217.jpg 1096.jpg 555.jpg 156.jpg 1289.jpg 899.jpg 1933.jpg 1582.jpg 1444.jpg 910.jpg 1758.jpg 1151.jpg 1265.jpg 712.jpg 458.jpg 489.jpg 897.jpg 1885.jpg 1311.jpg
15.txt,247.jpg 1334.jpg 482.jpg 1999.jpg 1177.jpg 149.jpg 463.jpg 1369.jpg 1308.jpg 1839.jpg 1507.jpg 6.jpg 1141.jpg 1158.jpg 738.jpg 1477.jpg 644.jpg 1102.jpg 1476.jpg 314.jpg
16.txt,37.jpg 1236.jpg 1254.jpg 267.jpg 1746.jpg 939.jpg 1913.jpg 637.jpg 1568.jpg 1729.jpg 1127.jpg 77.jpg 52.jpg 846.jpg 734.jpg 1577.jpg 914.jpg 1926.jpg 1132.jpg 1874.jpg
17.txt,838.jpg 1512.jpg 1644.jpg 1690.jpg 1665.jpg 1525.jpg 445.jpg 521.jpg 883.jpg 634.jpg 979.jpg 579.jpg 1611.jpg 1471.jpg 1713.jpg 322.jpg 459.jpg 372.jpg 1840.jpg 848.jpg
18.txt,432.jpg 1549.jpg 1951.jpg 1324.jpg 1221.jpg 1670.jpg 548.jpg 890.jpg 1299.jpg 1463.jpg 320.jpg 1159.jpg 1125.jpg 1953.jpg 779.jpg 713.jpg 1252.jpg 1819.jpg 380.jpg 1986.jpg
19.txt,1357.jpg 212.jpg 1288.jpg 884.jpg 715.jpg 145.jpg 824.jpg 737.jpg 1801.jpg 1128.jpg 258.jpg 1189.jpg 1595.jpg 716.jpg 905.jpg 750.jpg 122.jpg 1063.jpg 1301.jpg 1552.jpg
20.txt,476.jpg 785.jpg 1501.jpg 487.jpg 1720.jpg 1330.jpg 546.jpg 609.jpg 188.jpg 1037.jpg 110.jpg 19.jpg 950.jpg 153.jpg 1553.jpg 13.jpg 1570.jpg 1919.jpg 55.jpg 1594.jpg
21.txt,1955.jpg 1921.jpg 1996.jpg 865.jpg 1453.jpg 148.jpg 573.jpg 1379.jpg 915.jpg 731.jpg 71.jpg 1767.jpg 412.jpg 1632.jpg 1070.jpg 474.jpg 941.jpg 229.jpg 56.jpg 550.jpg
22.txt,1891.jpg 1138.jpg 1814.jpg 1642.jpg 253.jpg 1704.jpg 1988.jpg 500.jpg 1065.jpg 326.jpg 666.jpg 590.jpg 640.jpg 746.jpg 22.jpg 1524.jpg 622.jpg 1549.jpg 900.jpg 1233.jpg
23.txt,1545.jpg 1274.jpg 1710.jpg 1554.jpg 759.jpg 454.jpg 578.jpg 1378.jpg 39.jpg 385.jpg 1490.jpg 363.jpg 854.jpg 707.jpg 1019.jpg 1964.jpg 1439.jpg 1237.jpg 1169.jpg 491.jpg
24.txt,1681.jpg 1518.jpg 74.jpg 1870.jpg 1074.jpg 1520.jpg 1633.jpg 684.jpg 1721.jpg 1036.jpg 1722.jpg 536.jpg 1406.jpg 1062.jpg 584.jpg 1974.jpg 1454.jpg 1602.jpg 1732.jpg 1445.jpg
25.txt,1207.jpg 1187.jpg 1215.jpg 770.jpg 1371.jpg 1765.jpg 1620.jpg 26.jpg 767.jpg 1379.jpg 1243.jpg 1451.jpg 1850.jpg 1411.jpg 1145.jpg 155.jpg 1231.jpg 413.jpg 1479.jpg 617.jpg
26.txt,1369.jpg 1141.jpg 198.jpg 1839.jpg 149.jpg 6.jpg 967.jpg 247.jpg 1477.jpg 1999.jpg 1507.jpg 1102.jpg 1184.jpg 1494.jpg 482.jpg 1158.jpg 668.jpg 738.jpg 80.jpg 674.jpg
