Descritpion_ID,Top_20_Image_IDs
0.txt,714.jpg 345.jpg 1094.jpg 1380.jpg 338.jpg 1702.jpg 602.jpg 124.jpg 1480.jpg 871.jpg 769.jpg 1011.jpg 1967.jpg 105.jpg 290.jpg 1040.jpg 760.jpg 1077.jpg 1344.jpg 576.jpg
1.txt,833.jpg 314.jpg 169.jpg 818.jpg 80.jpg 331.jpg 457.jpg 927.jpg 1141.jpg 1102.jpg 61.jpg 1742.jpg 1733.jpg 1049.jpg 508.jpg 1714.jpg 107.jpg 820.jpg 482.jpg 1807.jpg
2.txt,42.jpg 838.jpg 1183.jpg 634.jpg 1724.jpg 1471.jpg 696.jpg 1840.jpg 904.jpg 511.jpg 445.jpg 1482.jpg 1208.jpg 953.jpg 600.jpg 159.jpg 1713.jpg 1421.jpg 1499.jpg 1292.jpg
3.txt,1769.jpg 1567.jpg 539.jpg 431.jpg 1052.jpg 426.jpg 883.jpg 1609.jpg 487.jpg 1144.jpg 923.jpg 333.jpg 1321.jpg 1242.jpg 1031.jpg 1185.jpg 1553.jpg 1035.jpg 1700.jpg 476.jpg
4.txt,922.jpg 687.jpg 95.jpg 1466.jpg 881.jpg 1262.jpg 233.jpg 1011.jpg 543.jpg 849.jpg 1273.jpg 639.jpg 150.jpg 413.jpg 1028.jpg 808.jpg 1561.jpg 554.jpg 985.jpg 305.jpg
5.txt,771.jpg 1874.jpg 51.jpg 492.jpg 1693.jpg 1335.jpg 1991.jpg 846.jpg 630.jpg 814.jpg 1943.jpg 379.jpg 330.jpg 703.jpg 1913.jpg 1660.jpg 1889.jpg 1088.jpg 1320.jpg 249.jpg
6.txt,1660.jpg 1216.jpg 1855.jpg 429.jpg 1815.jpg 1275.jpg 1701.jpg 655.jpg 1790.jpg 1151.jpg 1472.jpg 718.jpg 1122.jpg 1607.jpg 1320.jpg 583.jpg 897.jpg 1944.jpg 262.jpg 996.jpg
7.txt,975.jpg 1961.jpg 1857.jpg 409.jpg 654.jpg 1900.jpg 689.jpg 448.jpg 685.jpg 907.jpg 1085.jpg 1826.jpg 364.jpg 1400.jpg 451.jpg 1488.jpg 1362.jpg 670.jpg 384.jpg 987.jpg
8.txt,1283.jpg 719.jpg 1048.jpg 419.jpg 103.jpg 531.jpg 1004.jpg 923.jpg 1031.jpg 1348.jpg 727.jpg 1346.jpg 266.jpg 1570.jpg 1927.jpg 1847.jpg 403.jpg 1389.jpg 284.jpg 472.jpg
9.txt,1886.jpg 614.jpg 554.jpg 1818.jpg 1700.jpg 413.jpg 549.jpg 770.jpg 274.jpg 1913.jpg 1446.jpg 630.jpg 940.jpg 570.jpg 1558.jpg 1355.jpg 321.jpg 1943.jpg 1837.jpg 881.jpg
10.txt,634.jpg 696.jpg 1471.jpg 1366.jpg 42.jpg 511.jpg 1421.jpg 904.jpg 1482.jpg 979.jpg 1840.jpg 260.jpg 838.jpg 1183.jpg 1499.jpg 1084.jpg 1340.jpg 1665.jpg 496.jpg 1716.jpg
11.txt,51.jpg 771.jpg 1335.jpg 846.jpg 814.jpg 1693.jpg 379.jpg 1943.jpg 630.jpg 1913.jpg 492.jpg 526.jpg 1533.jpg 1874.jpg 1292.jpg 1837.jpg 1991.jpg 643.jpg 1830.jpg 1429.jpg
12.txt,1653.jpg 1443.jpg 845.jpg 1765.jpg 770.jpg 351.jpg 221.jpg 113.jpg 1656.jpg 157.jpg 1382.jpg 137.jpg 516.jpg 231.jpg 431.jpg 1057.jpg 1700.jpg 1567.jpg 654.jpg 724.jpg
13.txt,899.jpg 414.jpg 1333.jpg 623.jpg 1191.jpg 1655.jpg 712.jpg 458.jpg 1311.jpg 262.jpg 1265.jpg 1584.jpg 1377.jpg 1289.jpg 1151.jpg 1465.jpg 648.jpg 555.jpg 1933.jpg 217.jpg
14.txt,414.jpg 217.jpg 1289.jpg 156.jpg 555.jpg 899.jpg 1096.jpg 1933.jpg 1151.jpg 910.jpg 1444.jpg 897.jpg 1377.jpg 1758.jpg 458.jpg 623.jpg 1265.jpg 1582.jpg 489.jpg 1311.jpg
15.txt,247.jpg 1334.jpg 482.jpg 1999.jpg 1369.jpg 463.jpg 1177.jpg 1839.jpg 738.jpg 644.jpg 1141.jpg 1477.jpg 149.jpg 1507.jpg 1102.jpg 1308.jpg 6.jpg 668.jpg 198.jpg 107.jpg
16.txt,37.jpg 1746.jpg 1236.jpg 880.jpg 1926.jpg 734.jpg 1127.jpg 1913.jpg 389.jpg 1434.jpg 52.jpg 77.jpg 534.jpg 914.jpg 906.jpg 1610.jpg 31.jpg 939.jpg 68.jpg 267.jpg
17.txt,322.jpg 838.jpg 883.jpg 445.jpg 579.jpg 1525.jpg 696.jpg 1512.jpg 634.jpg 159.jpg 511.jpg 979.jpg 338.jpg 1611.jpg 372.jpg 1471.jpg 1107.jpg 426.jpg 459.jpg 1644.jpg
18.txt,1463.jpg 779.jpg 432.jpg 59.jpg 320.jpg 1819.jpg 1953.jpg 1125.jpg 516.jpg 1450.jpg 239.jpg 677.jpg 930.jpg 1279.jpg 661.jpg 650.jpg 577.jpg 1035.jpg 361.jpg 549.jpg
19.txt,145.jpg 1189.jpg 824.jpg 884.jpg 1357.jpg 1301.jpg 750.jpg 1128.jpg 1552.jpg 715.jpg 716.jpg 933.jpg 737.jpg 1288.jpg 1370.jpg 258.jpg 1595.jpg 1831.jpg 817.jpg 212.jpg
20.txt,476.jpg 1570.jpg 1037.jpg 609.jpg 487.jpg 1919.jpg 55.jpg 676.jpg 724.jpg 1927.jpg 322.jpg 781.jpg 1197.jpg 231.jpg 727.jpg 1330.jpg 1292.jpg 1883.jpg 431.jpg 828.jpg
21.txt,1921.jpg 1070.jpg 1215.jpg 573.jpg 731.jpg 148.jpg 71.jpg 1453.jpg 636.jpg 412.jpg 235.jpg 1767.jpg 1996.jpg 1632.jpg 960.jpg 941.jpg 1207.jpg 825.jpg 474.jpg 747.jpg
22.txt,1138.jpg 1891.jpg 1814.jpg 1642.jpg 253.jpg 1988.jpg 1704.jpg 326.jpg 590.jpg 666.jpg 500.jpg 1524.jpg 640.jpg 1347.jpg 1065.jpg 611.jpg 682.jpg 774.jpg 701.jpg 67.jpg
23.txt,1545.jpg 1274.jpg 759.jpg 1554.jpg 578.jpg 385.jpg 39.jpg 454.jpg 1710.jpg 363.jpg 1241.jpg 1964.jpg 780.jpg 1019.jpg 1169.jpg 707.jpg 1237.jpg 1422.jpg 854.jpg 491.jpg
24.txt,1681.jpg 1870.jpg 1074.jpg 74.jpg 1633.jpg 1518.jpg 1520.jpg 536.jpg 584.jpg 684.jpg 1445.jpg 1406.jpg 1722.jpg 1974.jpg 1036.jpg 1062.jpg 1732.jpg 1115.jpg 1454.jpg 1602.jpg
25.txt,1207.jpg 1215.jpg 1187.jpg 1765.jpg 770.jpg 1620.jpg 26.jpg 1371.jpg 1145.jpg 1097.jpg 471.jpg 1379.jpg 1889.jpg 1886.jpg 731.jpg 413.jpg 960.jpg 222.jpg 155.jpg 1727.jpg
26.txt,1141.jpg 1369.jpg 1839.jpg 198.jpg 1999.jpg 1184.jpg 1477.jpg 247.jpg 1507.jpg 149.jpg 1102.jpg 6.jpg 738.jpg 668.jpg 482.jpg 1147.jpg 314.jpg 1308.jpg 80.jpg 967.jpg
27.txt,440.jpg 1990.jpg 64.jpg 439.jpg 708.jpg 1376.jpg 1339.jpg 1621.jpg 1012.jpg 1364.jpg 1401.jpg 1966.jpg 853.jpg 1235.jpg 1657.jpg 777.jpg 544.jpg 128.jpg 194.jpg 1970.jpg
28.txt,1839.jpg 1369.jpg 198.jpg 6.jpg 1507.jpg 149.jpg 1477.jpg 1334.jpg 738.jpg 1999.jpg 1141.jpg 668.jpg 1184.jpg 247.jpg 1158.jpg 1102.jpg 482.jpg 107.jpg 1494.jpg 1959.jpg
29.txt,998.jpg 1296.jpg 216.jpg 1505.jpg 604.jpg 785.jpg 879.jpg 772.jpg 476.jpg 1499.jpg 1700.jpg 1479.jpg 82.jpg 1118.jpg 639.jpg 162.jpg 124.jpg 1423.jpg 1581.jpg 431.jpg
30.txt,1769.jpg 1035.jpg 305.jpg 1627.jpg 1513.jpg 1315.jpg 397.jpg 1836.jpg 829.jpg 222.jpg 749.jpg 1185.jpg 1980.jpg 723.jpg 1850.jpg 1553.jpg 1776.jpg 678.jpg 1965.jpg 93.jpg
31.txt,109.jpg 1759.jpg 635.jpg 176.jpg 1435.jpg 801.jpg 1861.jpg 1707.jpg 1081.jpg 984.jpg 918.jpg 1941.jpg 1934.jpg 282.jpg 1341.jpg 355.jpg 613.jpg 326.jpg 1054.jpg 313.jpg
32.txt,848.jpg 1179.jpg 1706.jpg 1644.jpg 343.jpg 1690.jpg 864.jpg 1389.jpg 1010.jpg 1834.jpg 266.jpg 1004.jpg 89.jpg 1336.jpg 1031.jpg 982.jpg 420.jpg 837.jpg 459.jpg 521.jpg
33.txt,666.jpg 1988.jpg 326.jpg 1642.jpg 253.jpg 1891.jpg 1704.jpg 1814.jpg 1759.jpg 176.jpg 1111.jpg 1138.jpg 590.jpg 1347.jpg 504.jpg 1065.jpg 109.jpg 918.jpg 628.jpg 467.jpg
