Descritpion_ID,Top_20_Image_IDs
0.txt,1094.jpg 714.jpg 1702.jpg 345.jpg 602.jpg 338.jpg 769.jpg 1344.jpg 1967.jpg 871.jpg 184.jpg 1380.jpg 1962.jpg 290.jpg 559.jpg 1480.jpg 1648.jpg 561.jpg 1574.jpg 609.jpg
1.txt,833.jpg 314.jpg 169.jpg 818.jpg 1810.jpg 80.jpg 457.jpg 61.jpg 1141.jpg 1177.jpg 508.jpg 1102.jpg 158.jpg 331.jpg 927.jpg 107.jpg 1114.jpg 1143.jpg 1529.jpg 185.jpg
2.txt,42.jpg 838.jpg 634.jpg 1183.jpg 1482.jpg 1208.jpg 1366.jpg 696.jpg 1724.jpg 1471.jpg 1665.jpg 1840.jpg 1713.jpg 511.jpg 1641.jpg 1040.jpg 260.jpg 904.jpg 3.jpg 159.jpg
3.txt,431.jpg 1567.jpg 1769.jpg 539.jpg 1242.jpg 1052.jpg 923.jpg 883.jpg 1573.jpg 487.jpg 1664.jpg 1896.jpg 765.jpg 781.jpg 1197.jpg 1883.jpg 1144.jpg 333.jpg 727.jpg 426.jpg
4.txt,922.jpg 1816.jpg 413.jpg 95.jpg 930.jpg 549.jpg 687.jpg 799.jpg 881.jpg 1269.jpg 1502.jpg 305.jpg 969.jpg 1258.jpg 1620.jpg 770.jpg 614.jpg 1262.jpg 432.jpg 1818.jpg
5.txt,771.jpg 1874.jpg 51.jpg 492.jpg 1991.jpg 846.jpg 1335.jpg 1693.jpg 703.jpg 379.jpg 814.jpg 1943.jpg 330.jpg 1660.jpg 630.jpg 643.jpg 526.jpg 1913.jpg 1320.jpg 1088.jpg
6.txt,1660.jpg 1855.jpg 1216.jpg 429.jpg 1275.jpg 655.jpg 1701.jpg 1815.jpg 1472.jpg 583.jpg 1320.jpg 908.jpg 1790.jpg 1151.jpg 996.jpg 1540.jpg 897.jpg 1940.jpg 1122.jpg 1312.jpg
7.txt,975.jpg 1696.jpg 1400.jpg 670.jpg 105.jpg 267.jpg 1900.jpg 46.jpg 760.jpg 1127.jpg 654.jpg 1786.jpg 1098.jpg 772.jpg 1577.jpg 305.jpg 745.jpg 1263.jpg 413.jpg 907.jpg
8.txt,1283.jpg 719.jpg 1048.jpg 419.jpg 531.jpg 103.jpg 447.jpg 923.jpg 1543.jpg 1997.jpg 1348.jpg 727.jpg 1031.jpg 1570.jpg 284.jpg 1004.jpg 472.jpg 1346.jpg 403.jpg 1622.jpg
9.txt,554.jpg 1886.jpg 614.jpg 549.jpg 770.jpg 1818.jpg 570.jpg 413.jpg 1446.jpg 1700.jpg 1620.jpg 1558.jpg 1795.jpg 881.jpg 274.jpg 1510.jpg 878.jpg 940.jpg 1791.jpg 630.jpg
10.txt,1366.jpg 634.jpg 1471.jpg 696.jpg 1421.jpg 511.jpg 42.jpg 1665.jpg 1482.jpg 1840.jpg 1208.jpg 1340.jpg 649.jpg 979.jpg 904.jpg 838.jpg 1084.jpg 1499.jpg 1724.jpg 1030.jpg
11.txt,379.jpg 51.jpg 771.jpg 1335.jpg 846.jpg 1943.jpg 1693.jpg 492.jpg 814.jpg 526.jpg 1874.jpg 1913.jpg 1837.jpg 630.jpg 1533.jpg 1830.jpg 1991.jpg 330.jpg 49.jpg 643.jpg
12.txt,845.jpg 1653.jpg 1568.jpg 231.jpg 137.jpg 676.jpg 1883.jpg 1443.jpg 1336.jpg 351.jpg 1656.jpg 1600.jpg 1637.jpg 1348.jpg 397.jpg 1057.jpg 221.jpg 1480.jpg 1350.jpg 406.jpg
13.txt,1333.jpg 1191.jpg 899.jpg 414.jpg 458.jpg 712.jpg 1655.jpg 623.jpg 1311.jpg 648.jpg 1020.jpg 539.jpg 1933.jpg 1584.jpg 431.jpg 555.jpg 903.jpg 557.jpg 1377.jpg 1465.jpg
14.txt,414.jpg 217.jpg 1096.jpg 1289.jpg 555.jpg 156.jpg 899.jpg 1933.jpg 1758.jpg 1444.jpg 1582.jpg 712.jpg 1151.jpg 910.jpg 1265.jpg 458.jpg 583.jpg 1311.jpg 1377.jpg 897.jpg
