Descritpion_ID,Top_20_Image_IDs
0.txt,345.jpg 1094.jpg 714.jpg 338.jpg 1702.jpg 1105.jpg 1480.jpg 1344.jpg 1380.jpg 602.jpg 769.jpg 871.jpg 1967.jpg 1648.jpg 375.jpg 309.jpg 105.jpg 1045.jpg 1420.jpg 561.jpg
1.txt,833.jpg 818.jpg 314.jpg 169.jpg 80.jpg 457.jpg 1810.jpg 158.jpg 1742.jpg 331.jpg 1529.jpg 61.jpg 1601.jpg 1143.jpg 1714.jpg 107.jpg 1733.jpg 1141.jpg 1116.jpg 927.jpg
2.txt,42.jpg 838.jpg 1183.jpg 634.jpg 1724.jpg 1840.jpg 696.jpg 1713.jpg 1471.jpg 511.jpg 1366.jpg 159.jpg 1208.jpg 445.jpg 1665.jpg 1482.jpg 1040.jpg 953.jpg 663.jpg 598.jpg
3.txt,1769.jpg 1514.jpg 1609.jpg 469.jpg 1052.jpg 1315.jpg 1035.jpg 1748.jpg 1101.jpg 1567.jpg 1185.jpg 397.jpg 431.jpg 539.jpg 487.jpg 1242.jpg 333.jpg 1765.jpg 749.jpg 799.jpg
4.txt,922.jpg 1816.jpg 1269.jpg 413.jpg 549.jpg 687.jpg 1561.jpg 95.jpg 1262.jpg 742.jpg 969.jpg 881.jpg 614.jpg 1466.jpg 930.jpg 1560.jpg 305.jpg 1258.jpg 1462.jpg 484.jpg
5.txt,771.jpg 51.jpg 1874.jpg 492.jpg 846.jpg 1335.jpg 1991.jpg 1693.jpg 379.jpg 814.jpg 1943.jpg 703.jpg 330.jpg 1660.jpg 526.jpg 630.jpg 1913.jpg 643.jpg 1292.jpg 77.jpg
6.txt,1855.jpg 1660.jpg 1216.jpg 655.jpg 429.jpg 1320.jpg 1275.jpg 1790.jpg 1472.jpg 1701.jpg 1815.jpg 1312.jpg 1151.jpg 1122.jpg 583.jpg 718.jpg 1940.jpg 897.jpg 996.jpg 1874.jpg
7.txt,975.jpg 1900.jpg 1857.jpg 685.jpg 105.jpg 689.jpg 1696.jpg 1961.jpg 448.jpg 1488.jpg 1155.jpg 1239.jpg 481.jpg 907.jpg 409.jpg 1085.jpg 1270.jpg 1285.jpg 1818.jpg 46.jpg
8.txt,1283.jpg 719.jpg 531.jpg 419.jpg 103.jpg 923.jpg 1048.jpg 1348.jpg 727.jpg 464.jpg 1031.jpg 1346.jpg 1622.jpg 1543.jpg 1847.jpg 447.jpg 1570.jpg 1567.jpg 196.jpg 266.jpg
9.txt,554.jpg 1886.jpg 614.jpg 770.jpg 413.jpg 570.jpg 1818.jpg 1700.jpg 1620.jpg 549.jpg 1446.jpg 1850.jpg 1558.jpg 881.jpg 940.jpg 52.jpg 1510.jpg 1101.jpg 1791.jpg 712.jpg
10.txt,1366.jpg 634.jpg 1471.jpg 696.jpg 1421.jpg 42.jpg 1482.jpg 511.jpg 649.jpg 1840.jpg 1208.jpg 1340.jpg 1665.jpg 904.jpg 979.jpg 1030.jpg 1499.jpg 1084.jpg 1059.jpg 1724.jpg
