Descritpion_ID,Top_20_Image_IDs
0.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
1.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
2.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
3.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
4.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
5.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
6.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
7.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
8.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
9.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
10.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
11.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
12.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
13.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
14.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
15.txt,1738.jpg 68.jpg 1761.jpg 234.jpg 1393.jpg 33.jpg 530.jpg 471.jpg 1565.jpg 37.jpg 381.jpg 40.jpg 722.jpg 488.jpg 1846.jpg 640.jpg 715.jpg 1755.jpg 1757.jpg 724.jpg
16.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
17.txt,153.jpg 479.jpg 580.jpg 597.jpg 1886.jpg 736.jpg 458.jpg 245.jpg 400.jpg 1443.jpg 952.jpg 407.jpg 1257.jpg 1746.jpg 1449.jpg 1453.jpg 943.jpg 417.jpg 1738.jpg 1747.jpg
